iter	Passed	Remaining
0	166	166492
1	168	84049
2	170	56536
3	172	42852
4	174	34634
5	175	29108
6	177	25151
7	178	22167
8	180	19858
9	182	18023
10	183	16533
11	185	15282
12	187	14206
13	188	13307
14	190	12512
15	191	11805
16	193	11186
17	194	10630
18	196	10135
19	197	9686
20	199	9288
21	200	8925
22	202	8590
23	203	8292
24	205	8015
25	206	7751
26	208	7510
27	209	7288
28	211	7079
29	212	6886
30	214	6706
31	215	6531
32	217	6371
33	219	6222
34	220	6084
35	222	5951
36	223	5826
37	225	5703
38	226	5588
39	227	5468
40	229	5362
41	230	5261
42	232	5174
43	233	5072
44	234	4972
45	235	4885
46	236	4805
47	238	4731
48	239	4644
49	240	4561
50	241	4491
51	242	4424
52	244	4362
53	245	4302
54	247	4254
55	249	4200
56	250	4142
57	251	4079
58	251	4015
59	252	3956
60	254	3910
61	255	3864
62	256	3817
63	257	3762
64	257	3710
65	259	3667
66	259	3618
67	260	3572
68	264	3566
69	265	3523
70	265	3480
71	266	3437
72	267	3396
73	268	3356
74	268	3316
75	269	3277
76	270	3240
77	270	3203
78	271	3167
79	272	3132
80	273	3099
81	273	3065
82	274	3029
83	274	2998
84	275	2969
85	277	2946
86	278	2917
87	278	2888
88	279	2859
89	279	2830
90	280	2801
91	281	2775
92	281	2748
93	282	2721
94	282	2695
95	283	2669
96	284	2644
97	284	2620
98	285	2596
99	285	2573
100	286	2551
101	287	2530
102	287	2507
103	288	2486
104	289	2465
105	289	2444
106	290	2423
107	291	2404
108	292	2388
109	292	2370
110	294	2362
111	295	2345
112	296	2328
113	297	2311
114	298	2294
115	298	2276
116	299	2257
117	299	2240
118	300	2223
119	300	2207
120	301	2190
121	302	2173
122	302	2157
123	303	2142
124	303	2127
125	304	2112
126	304	2096
127	305	2082
128	306	2069
129	307	2057
130	308	2044
131	309	2037
132	310	2024
133	311	2012
134	312	2000
135	312	1988
136	313	1975
137	314	1961
138	314	1948
139	315	1936
140	315	1923
141	316	1910
142	316	1898
143	317	1886
144	317	1874
145	318	1863
146	319	1852
147	319	1841
148	320	1830
149	321	1819
150	322	1811
151	323	1802
152	324	1798
153	325	1790
154	326	1781
155	327	1772
156	328	1761
157	328	1751
158	329	1741
159	329	1732
160	330	1721
161	330	1711
162	331	1702
163	332	1692
164	332	1683
165	333	1674
166	333	1664
167	334	1656
168	335	1647
169	335	1638
170	336	1632
171	337	1624
172	339	1625
173	341	1619
174	342	1612
175	342	1604
176	343	1595
177	343	1587
178	344	1579
179	344	1571
180	345	1563
181	346	1555
182	346	1548
183	347	1540
184	347	1532
185	348	1525
186	349	1518
187	349	1511
188	350	1504
189	351	1498
190	352	1492
191	354	1490
192	355	1484
193	356	1479
194	356	1472
195	357	1466
196	358	1459
197	358	1452
198	359	1445
199	359	1439
200	360	1432
201	361	1426
202	361	1419
203	362	1413
204	362	1407
205	363	1401
206	364	1395
207	365	1389
208	365	1384
209	366	1380
210	367	1374
211	369	1374
212	371	1370
213	371	1366
214	372	1361
215	373	1357
216	374	1352
217	375	1346
218	376	1341
219	376	1336
220	377	1330
221	378	1325
222	378	1319
223	379	1314
224	380	1309
225	380	1304
226	382	1301
227	384	1300
228	385	1296
229	386	1293
230	387	1289
231	388	1284
232	388	1279
233	389	1274
234	389	1269
235	390	1264
236	391	1259
237	391	1254
238	392	1249
239	393	1244
240	393	1239
241	394	1235
242	395	1230
243	396	1227
244	396	1223
245	398	1221
246	399	1217
247	400	1213
248	400	1209
249	401	1204
250	402	1199
251	402	1195
252	403	1190
253	403	1186
254	404	1181
255	405	1177
256	405	1173
257	406	1168
258	407	1164
259	407	1160
260	408	1156
261	409	1152
262	409	1148
263	410	1145
264	411	1141
265	413	1140
266	414	1137
267	415	1133
268	415	1129
269	416	1125
270	417	1121
271	417	1117
272	418	1113
273	418	1109
274	419	1105
275	420	1101
276	420	1097
277	421	1093
278	421	1090
279	422	1086
280	423	1082
281	423	1078
282	424	1074
283	424	1071
284	425	1068
285	427	1067
286	428	1064
287	429	1062
288	430	1059
289	431	1055
290	431	1051
291	432	1048
292	432	1044
293	433	1041
294	434	1037
295	434	1033
296	435	1030
297	435	1027
298	436	1023
299	437	1020
300	437	1016
301	438	1013
302	439	1010
303	440	1007
304	441	1005
305	442	1003
306	443	1001
307	444	998
308	445	995
309	445	992
310	446	989
311	447	985
312	447	982
313	448	979
314	448	976
315	449	972
316	450	969
317	450	966
318	451	963
319	452	960
320	452	957
321	453	954
322	453	951
323	454	948
324	455	946
325	456	944
326	458	944
327	459	942
328	460	939
329	461	937
330	462	934
331	462	931
332	463	928
333	464	925
334	464	922
335	465	919
336	465	916
337	466	913
338	467	910
339	467	908
340	468	905
341	469	902
342	469	899
343	470	898
344	473	898
345	474	896
346	475	895
347	476	892
348	477	890
349	477	887
350	478	884
351	479	882
352	479	879
353	480	876
354	481	874
355	481	871
356	482	869
357	483	867
358	484	864
359	489	870
360	490	868
361	492	867
362	493	866
363	494	864
364	505	879
365	506	877
366	507	875
367	508	872
368	508	870
369	509	867
370	510	865
371	511	863
372	511	860
373	512	858
374	513	855
375	514	853
376	515	851
377	517	851
378	519	850
379	520	848
380	521	847
381	522	844
382	522	842
383	523	839
384	524	837
385	525	835
386	526	833
387	527	831
388	527	829
389	528	827
390	529	824
391	533	826
392	534	825
393	535	824
394	536	822
395	537	819
396	538	817
397	539	815
398	540	813
399	540	811
400	541	809
401	543	807
402	544	805
403	546	805
404	548	806
405	549	804
406	550	802
407	551	800
408	552	798
409	553	795
410	555	796
411	556	794
412	557	792
413	558	790
414	559	788
415	559	785
416	561	785
417	564	785
418	565	783
419	565	781
420	566	778
421	566	776
422	567	774
423	568	771
424	568	769
425	569	767
426	569	764
427	570	762
428	571	760
429	571	758
430	572	755
431	573	753
432	573	751
433	574	749
434	577	749
435	578	747
436	579	747
437	580	745
438	581	743
439	582	740
440	582	738
441	583	736
442	583	734
443	584	731
444	585	729
445	585	727
446	586	725
447	586	723
448	587	720
449	588	718
450	592	721
451	594	720
452	595	718
453	595	716
454	596	714
455	597	712
456	598	710
457	598	708
458	599	706
459	599	703
460	600	701
461	600	699
462	601	697
463	602	695
464	602	693
465	605	694
466	607	693
467	608	691
468	608	689
469	609	687
470	610	685
471	610	683
472	611	681
473	611	679
474	612	676
475	612	674
476	613	672
477	614	670
478	614	668
479	615	666
480	616	664
481	616	662
482	619	662
483	622	663
484	623	662
485	624	660
486	624	658
487	625	656
488	626	654
489	626	652
490	627	650
491	627	648
492	628	646
493	629	644
494	629	642
495	630	640
496	631	638
497	631	636
498	632	634
499	632	632
500	637	634
501	637	632
502	638	630
503	639	628
504	639	627
505	640	625
506	641	623
507	641	621
508	642	619
509	642	617
510	643	615
511	643	613
512	644	611
513	645	610
514	645	608
515	646	606
516	649	606
517	652	606
518	653	605
519	653	603
520	654	601
521	655	600
522	655	598
523	656	596
524	656	594
525	657	592
526	657	590
527	658	588
528	659	586
529	659	584
530	660	583
531	661	581
